text,size
immigration,1029
trump,805
president,497
immigrants,474
people,434
re,408
states,343
one,312
united,312
york,312
house,274
border,247
country,244
law,240
white,239
times,227
administration,225
democrats,220
like,215
program,214
year,202
home,200
state,200
ice,199
government,192
ms,192
federal,187
group,185
enforcement,183
officials,180
american,179
daca,175
two,173
policy,172
security,171
children,170
republicans,168
time,167
immigrant,166
family,165
even,163
address,162
republican,160
undocumented,157
see,156
years,154
legal,149
senate,149
view,149
last,148
page,147
email,146
enter,146
work,144
department,142
dreamers,141
city,137
congress,136
verify,135
senator,131
first,130
select,129
box,128
make,128
newsletter,128
deportation,127
subscribe,127
clicking,126
invalid,126
newsletters,126
percent,126
robot,126
laws,124
called,123
deal,122
america,120
may,115
bill,113
california,110
end,110
made,108
including,107
system,106
told,106
young,106
court,104
us,104
day,103
political,103
way,102
case,101
police,101
agents,99
obama,99
local,97
back,96
much,96
take,96
illegal,95
national,94
right,94
week,94
based,93
citizenship,93
without,92
workers,92
legislation,91
office,91
policies,91
since,90
support,90
migration,89
according,88
debate,88
illegally,88
part,87
public,87
democratic,86
long,86
director,85
need,85
parents,85
still,85
want,85
members,84
mexico,84
countries,83
sanctuary,82
come,81
party,81
rights,81
washington,81
issue,80
another,79
far,79
migrants,79
status,79
visa,79
meeting,78
think,78
months,77
several,77
three,77
action,76
cases,76
know,76
wall,76
well,76
lawmakers,75
working,75
among,74
center,74
known,74
agency,73
citizens,73
information,73
race,73
says,73
tuesday,73
county,72
hard,72
homeland,72
judge,72
whether,72
democrat,71
lawyer,71
statement,71
came,70
number,70
decision,68
news,68
european,67
families,67
monday,67
senators,67
vote,67
across,66
asked,66
diverse,66
leaders,66
making,65
never,65
officers,65
voters,65
wednesday,65
deep,64
become,63
bipartisan,63
help,63
issues,63
act,62
added,62
cities,62
criminal,62
join,62
recent,62
refugees,62
already,61
customs,61
general,61
detention,60
plan,60
school,60
thursday,60
brought,59
later,59
nation,59
order,59
left,58
often,58
though,58
executive,57
journalists,57
man,57
union,57
campaign,56
clear,56
election,56
justice,56
majority,56
million,56
open,56
pass,56
around,55
little,55
proposal,55
protect,55
saying,55
sessions,55
took,55
arrested,54
authorities,54
less,54
provocative,54
sense,54
durbin,53
economic,53
exploration,53
past,53
born,52
europe,52
got,52
released,52
asylum,51
might,51
used,51
americans,50
away,50
every,50
month,50
others,50
six,50
whose,50
anti,49
crimes,49
current,49
four,49
groups,49
old,49
votes,49
world,49
call,48
change,48
conservative,48
friday,48
leader,48
measure,48
process,48
attorney,47
collapsesee,47
deferred,47
line,47
mayor,47
money,47
point,47
stay,47
top,47
trying,47
canada,46
efforts,46
green,46
instead,46
set,46
tax,46
ve,46
arrivals,45
communities,45
funding,45
least,45
night,45
really,45
start,45
threat,45
visas,45
arrests,44
business,44
congressional,44
days,44
diversity,44
effort,44
lawyers,44
living,44
residents,44
taken,44
thousands,44
arrest,43
civil,43
foreign,43
hold,43
interview,43
keep,43
wrote,43
began,42
deported,42
donald,42
high,42
lawsuit,42
next,42
parties,42
path,42
term,42
weeks,42
allow,41
applications,41
held,41
hundreds,41
lottery,41
person,41
ragbir,41
reporting,41
senior,41
sheriff,41
approach,40
chief,40
fear,40
find,40
free,40
increase,40
job,40
schumer,40
social,40
activists,39
advocates,39
contributed,39
district,39
exchange,39
graham,39
jobs,39
likely,39
rather,39
safety,39
supported,39
together,39
voted,39
west,39
yet,39
agreement,38
face,38
found,38
good,38
include,38
john,38
points,38
temporary,38
better,37
card,37
chain,37
community,37
el,37
employers,37
give,37
let,37
look,37
measures,37
nothing,37
official,37
place,37
population,37
question,37
secretary,37
south,37
today,37
toward,37
wants,37
allowed,36
angeles,36
best,36
company,36
compromise,36
feel,36
former,36
leave,36
short,36
sunday,36
university,36
virginia,36
women,36
won,36
arizona,35
australia,35
changes,35
companies,35
courts,35
enough,35
fact,35
gave,35
jail,35
nearly,35
north,35
recipients,35
refugee,35
reporters,35
something,35
wanted,35
bring,34
care,34
childhood,34
difficult,34
human,34
kind,34
mcconnell,34
protection,34
provide,34
salvador,34
services,34
spending,34
went,34
always,33
arrived,33
believe,33
brown,33
comments,33
dangerous,33
detained,33
earlier,33
fight,33
follow,33
los,33
miller,33
millions,33
mother,33
relatives,33
report,33
schaaf,33
skilled,33
small,33
texas,33
thought,33
wife,33
anyone,32
applicants,32
big,32
coalition,32
decades,32
force,32
given,32
great,32
jeff,32
life,32
matter,32
member,32
message,32
move,32
passed,32
problem,32
protected,32
protections,32
reach,32
received,32
room,32
speech,32
behind,31
cannot,31
coming,31
done,31
employees,31
florida,31
half,31
late,31
low,31
permanent,31
power,31
release,31
seeking,31
story,31
turn,31
turned,31
central,30
chance,30
crime,30
getting,30
liberal,30
lives,30
makes,30
mexican,30
offer,30
politicians,30
possible,30
pressure,30
proposals,30
questions,30
remain,30
second,30
seen,30
southern,30
spokesman,30
started,30
things,30
tough,30
twitter,30
able,29
area,29
convicted,29
custody,29
editor,29
history,29
idea,29
live,29
lost,29
middle,29
